dataset,seed,candidate,category,source_work_identity,bootstrap_work_index,bits_per_byte,nll_sum,tokens,source_chars,source_bytes
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:7beffd8ab6e37ff02e514b4f5e7e27b31ab567e82347b63efb2870cfd85d2120,70,4.110807834937215,435.9574136734009,45,51,153
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:17672397b016991e757a866468203dc56a37ad82f5134adf2459846a3cedb669,4,4.342940142175303,1291.417290687561,137,143,429
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:69b01b2daede497431a5d130a695d18f1235d869145fe59b5d92bd960a722364,41,3.2630068988719687,332.47637271881104,36,49,147
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:f210cb062afab635a3aebbe9d65a845191038025db1ba590476a534d9e4b65af,36,3.7647289032309827,1338.6792583465576,143,171,513
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:0652e84601f21465239e3cdb72e18127be0ad1cae7ca187fe484a43b8404129e,51,3.038303567741469,309.5807580947876,33,49,147
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:9100a9d34da88fd774602b05c6ee90111876201854176c82b281df6d57a5a5bf,2,3.6063292409840195,854.9031953811646,91,114,342
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:1f9f63a99ef6cbc57d5c80bdef37a7265023289a48ee5d0655f048f73ba0e5bb,62,3.291377896366701,335.3671684265137,35,49,147
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:1b09cd49c628a7def77bd0e04ec449903aa253b56b2f66ab838006a24eaf02f1,23,3.9635515815098925,239.017240524292,27,29,87
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:1d462ae5e9da2fcffab98988325fe94a152555eadb42c0f9483fa915caa8b4de,5,3.802054220568913,1249.1716194152832,134,158,474
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:49f02e00aefd621557e789f30a22273b497c62377cdb20a7308eb042a223a0c9,17,3.8787155622587584,758.1628532409668,84,94,282
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:7f1acba73dbb590f2059350b81b6452ea01874038280fd90c87628f586c00cfd,15,3.9166292626978225,741.1405448913574,79,91,273
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:384a2829117df294f918e0e3292aaeb2ceb26f82fe95b69531292e41d596fcdb,80,4.414492295403663,624.2181491851807,64,68,204
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:05554bc9b8e804ebbb02cfc07924513e935f5384702576a7b045942bcc776571,84,4.23319859974375,554.569408416748,61,63,189
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:71345211ec3ba323c2f3fea96d80860d327b842b3d46c17c4ab28e9c8f26ef4b,90,3.7410137383242383,412.29862689971924,43,53,159
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:c391898daeab8372fb8199bbd41e708d8b04b33d1984080480949e3511a584bd,16,4.0895986633238754,688.8305892944336,74,81,243
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:dc38293856bd4b3fbbfb17a2ea3a3ed005b1cc8e602170025665fb5769f1bad3,35,3.3426070292109755,250.2272129058838,27,36,108
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:5b1999b0cac33e1542758e3b59d9c473b5fd370a2b0e632b3b27ca873479c6c6,11,3.6694011889267713,877.4851055145264,99,115,345
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:db3fdb4a7c74e76b8850dd288bfabc473e0bbcecc4a5f6ae7a46e3aef4ef15bc,69,3.1860008633028642,351.1304349899292,39,53,159
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:4407f3d844541f2fb9d8b6d645132e11ab661a4288b1422293ccb9f28d2675a2,79,3.9099167053651978,617.9136848449707,69,76,228
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:0bf633a5dc9bf7ac673d3599d8596c43ba77d4ea94b9469cf17de002f895f6c3,56,3.0959931906903697,347.6485900878906,39,54,162
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:955384079b4cf87e3e9c30e0ba87152d4db31178c42f5276179131094cdc11c5,34,3.7609546993515823,289.3653612136841,30,37,111
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:4cfce05a50c6c27787ce5282083e079a6b4dacc0a17d46e4c5637c4f2999408b,27,3.222281163798054,214.41744995117188,23,32,96
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:d4b6bdac65f25e1d06547ce88e4c9810c1c705b41cc1bc9e1d075549ba3cd696,42,3.6274000783565357,316.8045892715454,32,42,126
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:8952801954f78ca62cdeb76b00e9976739ee20e4a31fb68734b7fef676634790,87,3.9020304837546846,567.983099937439,63,70,210
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:ad956be81d174cb25b3d89f0f335c67b00d3da32c475addd0b99e374b8175da2,45,3.5220890256048607,439.43869400024414,48,60,180
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:e1462673503c6f46a9b178f0c5bed3bd7182b2b5ed046517d8691e7372bc1ee1,77,3.580450665531898,357.37621688842773,39,48,144
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:fcce7557f2d919d4d0ab9666c2a16d44fa53dc0c35a78ed6945b85b1367d4146,83,4.148348606250795,534.8274021148682,57,62,186
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:407eeb8ace2d180c36fff5d7853f672bab8adbf3a4b1c3a66554ddc3a8d14f6b,60,3.4896432464858935,362.8254566192627,40,50,150
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:c2c3ee696b5b493e537c49dadd14b04b067ebe32fa96f36b078c1d6c5be6f756,28,3.61534788522333,1729.1180534362793,186,230,690
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:2095bc33187d6f3979e02211a3b227ce1dd28cb684fbc1a054587a1572e4e3b4,78,4.146076870289646,594.8851890563965,63,69,207
old,1,j-reversible-sp-unigram-32k,kakikudashi,sha256:f1f6ff8fc59c4bdf2a0c7d89a59ce1297591ca2585ddd9a740f565903454591c,33,3.3665090464856027,301.01972675323486,32,43,129
