candidate,seed,domain,requested_budget_fraction,actual_budget_fraction,source_chars,bits_per_byte,nll_sum,source_bytes,tokens,token_nll
j-reversible-sp-unigram-32k,2,aozora_kyu_kyu,0.75,0.7500226666666666,98589,2.195633879835775,431494.4478931427,283524,48030,8.98385275646768
j-reversible-sp-unigram-32k,2,aozora_shin_kyu,0.75,0.7500226666666666,363135,2.1220183752914683,1543926.2774362564,1049668,174239,8.860968425187567
j-reversible-sp-unigram-32k,2,aozora_shin_shin,0.75,0.7500226666666666,500000,1.9877692172666763,2003902.015832901,1454404,226058,8.864548106383765
j-reversible-sp-unigram-32k,2,gyaru,0.75,0.7500226666666666,211,6.035352397936107,2288.312961578369,547,227,10.080673839552286
j-reversible-sp-unigram-32k,2,historical_kana,0.75,0.7500226666666666,11,2.556583643595087,58.478928565979004,33,7,8.354132652282715
j-reversible-sp-unigram-32k,2,kakikudashi,0.75,0.7500226666666666,7344,3.813490731461564,58237.413600444794,22032,6309,9.230846980574544
j-reversible-sp-unigram-32k,2,kanbun,0.75,0.7500226666666666,4292,5.237571334312172,46745.1308760643,12876,4675,9.998958476163487
j-reversible-sp-unigram-32k,2,old_orthography,0.75,0.7500226666666666,13,2.218768922534675,59.979403495788574,39,7,8.568486213684082
j-reversible-sp-unigram-32k,2,technical,0.75,0.7500226666666666,34542,5.915906663520433,224909.38104343414,54848,23549,9.550697738478668
j-reversible-sp-unigram-32k,2,unicode_edge,0.75,0.7500226666666666,70,10.913540630786526,1036.362518787384,137,97,10.684149678220454
j-reversible-sp-unigram-32k,2,web_novel,0.75,0.7500226666666666,148523,2.3041195201026676,630820.1679887772,394980,70196,8.986554333420383
j-reversible-sp-unigram-32k,2,whitespace,0.75,0.7500226666666666,34,6.23197497166494,198.7050905227661,46,21,9.462147167750768
j-reversible-sp-unigram-32k,2,aa,1.0,1.0,468245,1.8260682224146596,1649619.7825651169,1303291,189974,8.68339763633506
j-reversible-sp-unigram-32k,2,aozora_kyu_kyu,1.0,1.0,98589,2.174781617629706,427396.48080921173,283524,48030,8.898531767837014
j-reversible-sp-unigram-32k,2,aozora_shin_kyu,1.0,1.0,363135,2.1046172153098057,1531265.6386470795,1049668,174239,8.788305939813013
j-reversible-sp-unigram-32k,2,aozora_shin_shin,1.0,1.0,500000,1.9771146880349415,1993161.0141010284,1454404,226058,8.817033743999453
j-reversible-sp-unigram-32k,2,gyaru,1.0,1.0,211,6.043306382368059,2291.3287267684937,547,227,10.093959148759884
j-reversible-sp-unigram-32k,2,historical_kana,1.0,1.0,11,2.5437037482168705,58.18431568145752,33,7,8.312045097351074
j-reversible-sp-unigram-32k,2,kakikudashi,1.0,1.0,7344,3.8236539092027053,58392.61974287033,22032,6309,9.255447732266656
j-reversible-sp-unigram-32k,2,kanbun,1.0,1.0,4292,5.258579089165376,46932.624312877655,12876,4675,10.039064024144952
j-reversible-sp-unigram-32k,2,old_orthography,1.0,1.0,13,2.2043532485431236,59.58970832824707,39,7,8.512815475463867
j-reversible-sp-unigram-32k,2,technical,1.0,1.0,34542,5.789027045520406,220085.70515155792,54848,23549,9.345862038793916
j-reversible-sp-unigram-32k,2,unicode_edge,1.0,1.0,70,10.795249919073703,1025.1294951438904,137,97,10.568345310761757
j-reversible-sp-unigram-32k,2,web_novel,1.0,1.0,148523,2.297779048171579,629084.2781906128,394980,70196,8.961825149447444
j-reversible-sp-unigram-32k,2,whitespace,1.0,1.0,34,6.037521306920606,192.50498008728027,46,21,9.166903813680014
j-reversible-sp-unigram-48k,2,aa,0.19,0.19008296666666666,468245,1.783277912870836,1610964.1944227219,1303291,175826,9.162263797292333
j-reversible-sp-unigram-48k,2,aozora_kyu_kyu,0.19,0.19008296666666666,98589,2.1671119262090563,425889.2034368515,283524,44962,9.472203270247132
j-reversible-sp-unigram-48k,2,aozora_shin_kyu,0.19,0.19008296666666666,363135,2.0927165793166616,1522607.0403795242,1049668,162834,9.350670255471979
j-reversible-sp-unigram-48k,2,aozora_shin_shin,0.19,0.19008296666666666,500000,1.9507621867596592,1966594.6350822449,1454404,210650,9.335839710810562
j-reversible-sp-unigram-48k,2,gyaru,0.19,0.19008296666666666,211,6.100593133046856,2313.049084663391,547,223,10.372417420015207
j-reversible-sp-unigram-48k,2,historical_kana,0.19,0.19008296666666666,11,2.52621601027121,57.78430366516113,33,6,9.630717277526855
j-reversible-sp-unigram-48k,2,kakikudashi,0.19,0.19008296666666666,7344,3.7543664112572377,57334.50135231018,22032,6098,9.40218126472781
j-reversible-sp-unigram-48k,2,kanbun,0.19,0.19008296666666666,4292,5.211573834521194,46513.10414981842,12876,4633,10.03952172454531
j-reversible-sp-unigram-48k,2,old_orthography,0.19,0.19008296666666666,13,2.2389948231244836,60.52616500854492,39,7,8.646595001220703
j-reversible-sp-unigram-48k,2,technical,0.19,0.19008296666666666,34542,5.864726111554378,222963.61230182648,54848,20968,10.633518328015379
j-reversible-sp-unigram-48k,2,unicode_edge,0.19,0.19008296666666666,70,10.912808195592284,1036.292965888977,137,94,11.024393254138054
j-reversible-sp-unigram-48k,2,web_novel,0.19,0.19008296666666666,148523,2.2600961750593473,618767.488571167,394980,65296,9.476346002376363
j-reversible-sp-unigram-48k,2,whitespace,0.19,0.19008296666666666,34,6.501422224653486,207.29635429382324,46,19,10.910334436517013
j-reversible-sp-unigram-48k,2,aa,0.2,0.2000922,468245,1.7818137900742412,1609641.546177864,1303291,175826,9.154741313445475
j-reversible-sp-unigram-48k,2,aozora_kyu_kyu,0.2,0.2000922,98589,2.177037988838591,427839.91159152985,283524,44962,9.515588977170273
j-reversible-sp-unigram-48k,2,aozora_shin_kyu,0.2,0.2000922,363135,2.1012724710747688,1528832.088317871,1049668,162834,9.38889966664131
j-reversible-sp-unigram-48k,2,aozora_shin_shin,0.2,0.2000922,500000,1.9514979333551727,1967336.353020668,1454404,210650,9.339360802376778
j-reversible-sp-unigram-48k,2,gyaru,0.2,0.2000922,211,6.047702658854519,2292.995581626892,547,223,10.28249139743001
j-reversible-sp-unigram-48k,2,historical_kana,0.2,0.2000922,11,2.574862460041952,58.89703559875488,33,6,9.81617259979248
j-reversible-sp-unigram-48k,2,kakikudashi,0.2,0.2000922,7344,3.770893220978599,57586.88918304443,22032,6098,9.44356988898728
j-reversible-sp-unigram-48k,2,kanbun,0.2,0.2000922,4292,5.219112629481522,46580.38761663437,12876,4633,10.05404438088374
j-reversible-sp-unigram-48k,2,old_orthography,0.2,0.2000922,13,2.24466774582999,60.67951965332031,39,7,8.668502807617188
